rating,text,reviewer,variant,date,original_text,sentiment,polarity,subjectivity
3,barang hilang dihilangin kurir hindari penggunaan sicepat kualitas minus maaf gak bintang karena toko juga kurang baik dalam menangani komplain customer selain itu dana refund ditahan oleh pihak tokopedia tanpa ada kejelasan tanggal penyelesaian proses di aplikasi tanggal juli kemudian dijanjikan cair tanggal agustus tapi sampai dengan saat ini belum juga ada cair itu uang saya gak terima barang duit juga ditahan tokopedia,F r,Grey Proteksi,11 bulan lalu,"Barang hilang, dihilangin kurir, hindari penggunaan SiCepat, kualitas minus, maaf gak 5 bintang karena toko juga kurang baik dalam menangani komplain customer. Selain itu, dana refund ditahan oleh pihak Tokopedia tanpa ada kejelasan, tanggal penyelesaian proses di aplikasi tanggal 30 Juli, kemudian dijanjikan cair tanggal 1 Agustus, tapi sampai dengan saat ini belum juga ada cair itu uang saya. Gak terima barang, duit juga ditahan Tokopedia.",Neutral,-0.1,0.1
3,packagingnya parah amat dri pihak kurir klaim kalo packagingnya udh terbuka untungnya udh di klarifikasi lewat video sm kurirnya klo barangnya aman dan lengkap tolong diperbaiki lagi packagingnya kalo dikirim ke luar pulau bahaya bisa hilang atau rusak,G y,Spcae Grey EWS,Lebih dari 1 tahun lalu,"packagingnya parah amat, dri pihak kurir klaim kalo packagingnya udh terbuka untungnya udh di klarifikasi lewat video sm kurirnya klo barangnya aman dan lengkap tolong diperbaiki lagi packagingnya kalo dikirim ke luar pulau bahaya bisa hilang atau rusak",Neutral,0.0,0.0
3,plus gambar tajem build quality sesuai harganya bagus bonus pencil detachable keyboard packing lumayan aman cocok bagi designer yg suka gambar tablet versi papermatte nyaman minus device huawei matepad menerapkan system spoofing device matepad akan terdeteksi oleh google menjadi oppo lain ketika login dengan akun google kalian banyak bug di apps system karena ini bukan android service pake huawei punya jadi gak disarankan bagi yg newbie di tech karena butuh waktu buat penyesuaian akses ke aplikasi terbatas karena gak terhubung langsung dengan playstore update os yg terbatas butuh effort buat setting karena system yy beda dari android apps nya yg sering ngebug minim resource official buat research semisal ada bugs jadi harus ke cs huawei jujur ada sedikit rasa kecewa karena ngira bakal dynamis dan bagus system dari huawei tapi ngerasa kaya jadi user beta devicenya its ok experience tablet nya buat kerja lumayan ngebantu juga,Anggara,Space Grey,9 bulan lalu,"Plus - gambar tajem - build quality sesuai harganya, bagus - bonus pencil & detachable keyboard - packing lumayan aman - cocok bagi designer, yg suka gambar , tablet versi papermatte nyaman Minus - device huawei matepad menerapkan system spoofing, device matepad akan terdeteksi oleh google menjadi oppo & lain"" ketika login dengan akun google kalian - banyak bug di apps & system Karena ini bukan android, & service pake huawei punya. Jadi gak disarankan bagi yg newbie di tech, karena butuh waktu buat penyesuaian - akses ke aplikasi terbatas, karena gak terhubung langsung dengan playstore - update os yg terbatas - butuh effort buat setting, karena system yy beda dari android & apps nya yg sering ngebug - minim resource official buat research semisal ada bugs, jadi harus ke cs huawei Jujur ada sedikit rasa kecewa, karena ngira bakal dynamis dan bagus system dari huawei. Tapi ngerasa kaya jadi user beta devicenya. Its ok, experience tablet nya buat kerja lumayan ngebantu juga.",Positive,0.2,0.3
3,packing luarnya sembarangan kurang profesional,v n,Space Grey,11 bulan lalu,packing luarnya sembarangan... kurang profesional.,Neutral,0.0,0.0
3,bulan lalu vincent varian spcae greyews kendala tidak lengkap salah kirim orang terbantu lihat balasan,Vincent,Spcae Grey EWS,10 bulan lalu,"10 bulan lalu
Vincent
Varian: Spcae Grey+EWS
Kendala: Tidak lengkap/salah kirim
1 orang terbantu
Lihat Balasan",Neutral,0.0,0.0
3,lebih dari tahun lalu p i varian violetproteksi kendala kemasan tidak aman pengiriman lama membantu lihat balasan,P I,Violet Proteksi,Lebih dari 1 tahun lalu,"Lebih dari 1 tahun lalu
P***I
Varian: Violet+Proteksi
Kendala: Kemasan tidak aman, Pengiriman lama
Membantu
Lihat Balasan",Neutral,0.0,0.0
4,barang masih segel tetapi kotak pengiriman penyok parah sehingga kena kotak barang jd ikut penyok semoga isinya aman,Budhi,Spcae Grey EWS,Lebih dari 1 tahun lalu,"Barang masih segel, tetapi kotak pengiriman penyok parah sehingga kena kotak barang jd ikut penyok. Semoga isinya aman",Neutral,0.0,0.0
4,pengiriman lama kerdusnya ga berbentuk tapi aman barang oke original asli no kw kw,f h,Violet,12 bulan lalu,pengiriman lama kerdusnya ga berbentuk tapi aman barang oke original asli no kw kw,Positive,0.375,0.75
4,kondisi barang saat sampai sangat lengkap baik dan aman cuman waktu po nya aja agak lama tapi syukurnya saya pilih pengiriman yg tepat barang sampai dengan cepat akhirnya terima kasih huawei,Bung,Spcae Grey EWS,Lebih dari 1 tahun lalu,"kondisi barang saat sampai sangat lengkap, baik, dan aman. cuman waktu PO nya aja agak lama, tapi syukurnya saya pilih pengiriman yg tepat, barang sampai dengan cepat akhirnya. terima kasih huawei",Neutral,0.0,0.0
4,barang bagus packaging jelek dus barang didalamnya sdkt penyok untungnya dus bawaan huawei tebal mohon utk penjual memperhatikan nya apalagi ini toko official,R d,Grey Proteksi,Lebih dari 1 tahun lalu,"Barang bagus, packaging jelek. Dus barang didalamnya sdkt penyok, untungnya dus bawaan huawei tebal. Mohon utk penjual memperhatikan nya apalagi ini toko official",Neutral,0.0,0.0
4,produk gaada masalah bagus cuma ngacoo banget packingnya cok kardus tipis jeleeek gak niat packing packing harga jutaan kalah sm barang 200rb an,i n,Spcae Grey EWS,Lebih dari 1 tahun lalu,"Produk gaada masalah, bagus.. Cuma ngacoo banget packingnya cok, kardus tipis, jeleeek, gak niat packing Packing harga jutaan kalah sm barang 200rb an",Neutral,0.0,0.0
4,luar biasa tidak aman packing barangnya luarbiasa juga kurirnya sicepat yg super lambat dan sampai paketnya sepenyok ini sampai segelnya terbuka untung barang di dalamnya masih aman,A D,Grey Proteksi,Lebih dari 1 tahun lalu,"luar biasa tidak aman packing barangnya, luarbiasa juga kurirnya sicepat yg super lambat dan sampai paketnya sepenyok ini, sampai segelnya terbuka. untung barang di dalamnya masih aman",Positive,0.3333333333333333,0.6666666666666666
4,barang datang lebih cepat dari yang seharusnya namun kondisi kardus terbuka lakban dan sticker tidak lengket sempurna sangat berbahaya apalagi ada tulisan huaweinya,F i,Violet Proteksi,Lebih dari 1 tahun lalu,"Barang datang lebih cepat dari yang seharusnya namun kondisi kardus terbuka, lakban dan sticker tidak lengket sempurna sangat berbahaya apalagi ada tulisan huaweinya",Neutral,0.0,0.0
4,saya kecewa dengan packing yang tidak rapat dan rapi saat paket saya terima kondisinya bungkus luarnya rusak bungkus luar yg rusak pasti membuat kawatir kondisi barang di dalamnya mohon lain kali lebih memperhatikan packaging luar mengingat ini bukan barang murah,S o,Space Grey,12 bulan lalu,"Saya kecewa dengan packing yang tidak rapat dan rapi. Saat paket saya terima, kondisinya bungkus luarnya rusak. bungkus luar yg rusak pasti membuat kawatir kondisi barang di dalamnya. Mohon lain kali lebih memperhatikan PACKAGING luar mengingat ini BUKAN barang MURAH.",Neutral,0.0,0.0
4,barang bagus oke tapi untuk packing barang mohon diperhatikan kembali sekelas huawei official store menurut saya kurang sekali untuk pengemasan barangnya semoga bisa ditingkatkan,l e,Violet Proteksi,11 bulan lalu,"barang bagus, oke. tapi untuk packing barang mohon diperhatikan kembali. sekelas huawei & official store menurut saya kurang sekali untuk pengemasan barangnya. semoga bisa ditingkatkan",Neutral,0.0,0.0
4,barang ori dan bonusnya mantap enak dipakai dan smooth layar lembut di mata dan speakernya mantab sayang utk hrg segitu kameranya hrsnya bs lbh baik lg kondisi agak gelap dikit aja sangat grainy kyk tab china murmer dan baterenya gak seawet yg kukira,A d,Violet Proteksi,Lebih dari 1 tahun lalu,barang ori dan bonusnya mantap.. enak dipakai dan smooth.. layar lembut di mata dan speakernya mantab.. sayang utk hrg segitu kameranya hrsnya bs lbh baik lg.. kondisi agak gelap dikit aja sangat grainy kyk tab china murmer dan baterenya gak seawet yg kukira,Positive,0.4,0.5
4,permasalahan emang dipackingan kurang aman kalau mau beli laptop sedikit ragu,M r,Violet,12 bulan lalu,"Permasalahan emang dipackingan kurang aman, kalau mau beli laptop sedikit ragu",Neutral,0.0,0.0
4,barang sudah sampai tapi dus nya sudah bolong2 ya ngeri2 sedap euy packing nya tp kondisi kelengkapan kumplit dan tidak ada kendala,I n,Space Grey,11 bulan lalu,Barang sudah sampai. tapi dus nya sudah bolong2 ya. ngeri2 sedap euy packing nya.. tp kondisi kelengkapan kumplit dan tidak ada kendala.,Neutral,0.0,0.0
4,packing mohon untuk lebih safety lagi,Azmi,Grey Proteksi,Lebih dari 1 tahun lalu,packing mohon untuk lebih safety lagi,Neutral,0.0,0.0
4,dus nya tipis amat sampai disini udah penyok dan robek sampai box tablet nga juga ikutan penyok tolong lah sekelas official store huawei koq kualitas packing sampai segitux,H o,Grey Proteksi,Lebih dari 1 tahun lalu,Dus nya tipis amat. Sampai disini udah penyok dan robek. Sampai box tablet nga juga ikutan penyok. Tolong lah sekelas official store huawei koq kualitas packing sampai segitux.,Neutral,0.0,0.0
4,barang sudah sampai dengan aman hanya saja ternyata tidak termasuk pen kalo mau beli pen dijual terpisah dan tidak dicantumkan di deskripsi,R t,Violet,10 bulan lalu,"Barang sudah sampai dengan aman, hanya saja ternyata tidak termasuk Pen. Kalo mau beli pen dijual terpisah, dan tidak dicantumkan di deskripsi.",Neutral,0.0,0.0
5,barang sesuai pesanan dapat bonus mpencil dan keyboard sesuai di foto pengiriman cepat berfungsi dengan baik desain keren dan fitur sangat keren tab terbaik dengan harga yg oke dapat diskon lumayan waktu mantap,Dimas,Violet,9 bulan lalu,"Barang sesuai pesanan, dapat bonus Mpencil dan keyboard sesuai di foto, pengiriman cepat, berfungsi dengan baik, desain keren dan fitur sangat keren, tab terbaik dengan harga yg oke. dapat diskon lumayan waktu 10.10, mantap",Neutral,0.0,0.0
5,barang original berfungsi baik lengkap pengiriman sesuai mate tidak ada pantulan cahaya namun paperlike feelnya agak kurang terasa,H y,Space Grey,9 bulan lalu,"barang original, berfungsi baik, lengkap, pengiriman sesuai. mate tidak ada pantulan cahaya, namun paperlike feelnya agak kurang terasa",Positive,0.375,0.75
5,barang aman sampai tujuan masih segel dan dpt keyboard sayang ga dapat mouse dan pen,D s,Violet,4 bulan lalu,barang aman sampai tujuan. masih segel dan dpt keyboard. sayang ga dapat mouse dan pen,Neutral,0.0,0.0
5,barang bagus dan tersegel fast respon tapi mengapa tak de pensil bonusnya ya mana di storenya kosong,T I,Spcae Grey EWS,7 bulan lalu,"Barang bagus dan tersegel, fast respon, tapi mengapa tak de pensil bonusnya ya. Mana di storenya kosong.",Positive,0.2,0.6
5,produk original dan semua berfungsi dengan baik po tidak sampai hari sudah terkirim mantap,Aldi,Grey Proteksi,Lebih dari 1 tahun lalu,produk original dan semua berfungsi dengan baik. PO tidak sampai 11 hari sudah terkirim. mantap,Positive,0.375,0.75
5,tablet yang bonusnya melimpah ada huawei m pencil gen ada official keyboard case dan ada huawei wireless mousenya cocok dibeli saat masa pre order adanya go paint mempengaruhi daya jual tablet ini waktunya belajar bikin digital art dan berkreasi packingnya juga aman dan pengirimannya sesuai dengan yang dijanjikan,Heru,Grey Proteksi,Lebih dari 1 tahun lalu,"Tablet yang bonusnya melimpah, ada huawei m pencil gen 3, ada official keyboard case, dan ada huawei wireless mousenya. Cocok dibeli saat masa pre order. Adanya Go Paint mempengaruhi daya jual tablet ini. Waktunya belajar bikin digital art dan berkreasi. Packingnya juga aman dan pengirimannya sesuai dengan yang dijanjikan.",Neutral,0.0,0.0
5,sempat kuatir dengan kondisi kardus coklat yg penyok dan kardus tabletnya yang warna putih tetapi setelah dicek kondisi tablet dalam kondisi baik mohon di perhatikan kembali dan sekarang dalam masa penyesuaian keseluruhan dengan tablet sangat kagum terimakasih huawei,Richardo,Violet EWS,Lebih dari 1 tahun lalu,"Sempat kuatir dengan kondisi kardus Coklat yg penyok dan Kardus Tabletnya yang warna putih. tetapi setelah dicek kondisi Tablet dalam kondisi baik. mohon di perhatikan kembali. Dan sekarang dalam masa penyesuaian, keseluruhan dengan Tablet sangat kagum. Terimakasih Huawei",Neutral,0.0,0.0
5,barang tersegel dengan rapi walaupun kardus luar penyok alhamdulillah laptop aman warna purple nya cantik banget berfungsi dengan baik pokoknya puas belanja disini terimakasih admin juga gercep jawab chat,Luna,Violet,8 bulan lalu,barang tersegel dengan rapi walaupun kardus luar penyok. Alhamdulillah laptop aman .warna purple nya cantik banget. berfungsi dengan baik.pokoknya puas belanja disini.terimakasih. admin juga gercep jawab chat.,Neutral,0.0,0.0
5,barangnya bagus seller ramah dan responsive packing aman semuanya oke,M d,Space Grey,9 bulan lalu,Barangnya Bagus Seller Ramah dan Responsive Packing Aman Semuanya Oke,Neutral,0.0,0.0
5,dapat harga gooddeal pas udah ngincer lumayan lama pas tau diskonnya lumayan lngsg gas checkout so far ini tab paling value for money buat saat ini udh complete dpt keyboard dan pen magnetnya kenceng bgt juga buat berdiriin tabnya diatas keyboard yg masih worry klo ini gbs google dll gak ya ini bisa kok buat aplikasi google dan tetek bengek lainnya mantap huawei pantes si apel ketar ketir hehehe,A a,Space Grey,9 bulan lalu,"Dapat harga gooddeal pas 10.10. Udah ngincer lumayan lama, pas tau diskonnya lumayan lngsg gas checkout. So far ini tab paling value for money buat saat ini, udh complete dpt keyboard dan pen. Magnetnya kenceng bgt juga buat berdiriin tabnya diatas keyboard. Yg masih worry klo ini gbs google dll, gak ya ini bisa kok buat aplikasi google dan tetek bengek lainnya. Mantap huawei pantes si apel ketar ketir hehehe",Neutral,0.1,0.7
5,barang sudah sampai pengiriman cepat aman terkendali free nya hanya keyboard saja tanpa ada mouse dan mpensil musti beli terpisah sih agak repot jadinya beli lagi pakai enggak cumplitt,Fachry,Spcae Grey EWS,4 minggu lalu,barang sudah sampai. pengiriman cepat. aman terkendali. free nya hanya keyboard saja. tanpa ada mouse dan mpensil.. musti beli terpisah sih. agak repot jadinya.. beli lagi . pakai enggak cumplitt,Positive,0.4,0.8
5,seller ramah dan infrormatif juga fast respon thank you,D z,Violet,Lebih dari 1 tahun lalu,"Seller ramah dan infrormatif juga fast respon, thank you",Positive,0.2,0.6
5,barang bagus semoga awet pemakaian nya dan tidak ada kendala ke depannya,Kristanto,Spcae Grey EWS,8 bulan lalu,"Barang Bagus, Semoga Awet pemakaian nya dan tidak ada kendala ke depannya",Neutral,0.0,0.0
5,barang sampai dengan aman selamat dan cepat sudah pasti ori dan berfungsi dengan baik kualitas layar yang nyaman di mata semoga bisa meningkatkan produktivitas,Saiful,Violet EWS,9 bulan lalu,"Barang sampai dengan aman, selamat, dan cepat. Sudah pasti ori dan berfungsi dengan baik. Kualitas layar yang nyaman di mata, semoga bisa meningkatkan produktivitas",Neutral,0.0,0.0
5,produk terjamin ori admin sangat responsif sejauh ini sudah di tes hari oke no prob namun untuk papermatte edition yg tergolong unik ini tidak dapat bonus m pen hanya keyboard aja harus beli terpisah,D y,Violet,7 bulan lalu,"produk terjamin ori, admin sangat responsif. sejauh ini sudah di tes 2 hari oke no prob.. namun untuk papermatte edition yg tergolong unik ini tidak dapat bonus m-pen hanya keyboard aja. harus beli terpisah",Neutral,0.0,0.0
